type,name
Executives,Ricardo Dutra da Silva - Executive Officer
Executives,"Eduardo Alcaro - Chief Financial and Investor Relations Officer, Chief Accounting Officer"
Executives,André Cazotto - Head of Investor Relations
Analysts,Domingos Falavigna - JPMorgan
Analysts,Carlos Macedo - Goldman Sachs
Analysts,Bryan Keane - Deutsche Bank
Analysts,Jason Kupferberg - Bank of America Merrill Lynch.
Analysts,James Friedman - SIG
Analysts,Lucas Lopes - Credit Suisse
Analysts,Craig Maurer - Autonomous Research
Analysts,Eduardo Rosman - Banco BTG Pactual
Analysts,Felipe Salomao - Citibank
